participant_id,t,choice
P001,7,1
P001,14,1
P001,30,1
P001,60,1
P001,90,1
P001,180,0
P002,7,0
P002,14,1
P002,30,1
P002,60,1
P002,90,0
P002,180,1
P003,7,1
P003,14,1
P003,30,1
P003,60,1
P003,90,1
P003,180,1
P004,7,1
P004,14,1
P004,30,1
P004,60,1
P004,90,1
P004,180,1
P005,7,1
P005,14,1
P005,30,1
P005,60,1
P005,90,1
P005,180,0
M001,7,1
M001,14,1
M001,30,0
M001,60,1
M001,90,1
M001,180,1
M002,7,1
M002,14,0
M002,30,1
M002,60,0
M002,90,0
M002,180,0
M003,7,0
M003,14,1
M003,30,0
M003,60,1
M003,90,0
M003,180,0
M004,7,1
M004,14,1
M004,30,1
M004,60,1
M004,90,1
M004,180,1
M005,7,1
M005,14,1
M005,30,0
M005,60,0
M005,90,0
M005,180,0
M006,7,1
M006,14,1
M006,30,1
M006,60,0
M006,90,0
M006,180,0
M007,7,1
M007,14,1
M007,30,0
M007,60,1
M007,90,0
M007,180,0
M008,7,0
M008,14,1
M008,30,1
M008,60,1
M008,90,0
M008,180,0
M009,7,1
M009,14,1
M009,30,1
M009,60,1
M009,90,0
M009,180,0
M010,7,1
M010,14,1
M010,30,1
M010,60,1
M010,90,1
M010,180,0
I001,7,0
I001,14,1
I001,30,1
I001,60,0
I001,90,0
I001,180,0
I002,7,1
I002,14,1
I002,30,0
I002,60,0
I002,90,0
I002,180,0
I003,7,1
I003,14,1
I003,30,1
I003,60,0
I003,90,0
I003,180,0
I004,7,1
I004,14,0
I004,30,0
I004,60,0
I004,90,1
I004,180,0
I005,7,1
I005,14,1
I005,30,1
I005,60,0
I005,90,0
I005,180,0
I006,7,1
I006,14,1
I006,30,0
I006,60,0
I006,90,0
I006,180,0
I007,7,1
I007,14,1
I007,30,0
I007,60,0
I007,90,0
I007,180,0
I008,7,0
I008,14,1
I008,30,1
I008,60,0
I008,90,0
I008,180,0
I009,7,1
I009,14,1
I009,30,1
I009,60,0
I009,90,0
I009,180,0
I010,7,1
I010,14,0
I010,30,1
I010,60,0
I010,90,0
I010,180,0
V001,7,1
V001,14,0
V001,30,0
V001,60,0
V001,90,1
V001,180,0
V002,7,1
V002,14,0
V002,30,0
V002,60,0
V002,90,0
V002,180,0
V003,7,1
V003,14,0
V003,30,0
V003,60,0
V003,90,0
V003,180,0
V004,7,0
V004,14,0
V004,30,0
V004,60,0
V004,90,0
V004,180,0
V005,7,1
V005,14,0
V005,30,0
V005,60,0
V005,90,1
V005,180,0
